название,дистрибьютор,дата_старта,тотал_экраны,тотал_сбор,тотал_зритель,тотал_наработка,сбор_чт,множ_чт,премьерный_уикенд_экраны,премьерный_уикенд_сбор,премьерный_уикенд_зритель,премьерный_уикенд_наработка,второй_уикенд_сбор,второй_уикенд_зритель,второй_уикенд_падение,превью_сбор,превью_дни,жанр,страна
БЛОГЕРЫ И ДОРОГИ,SMKT,24.06.21,32,"2,1 млн","5,3 тыс",66 тыс,,,32,"1,3 млн","2,9 тыс",42 тыс,,,,,,,RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 127. РОК-Н-МУЛЬТ,MVK,17.06.21,885,"5,3 млн",50 тыс,"5,9 тыс",,,710,918 тыс,"7,7 тыс","1,3 тыс","1,1 млн",11 тыс,-24.04,,,анимация,RUONLY
СЕРДЦЕ И КАК ИМ ПОЛЬЗОВАТЬСЯ,CP,17.06.21,879,"5,8 млн",23 тыс,"6,6 тыс",,,877,"3,3 млн",12 тыс,"3,8 тыс",599 тыс,"2,5 тыс",81.96,,,комедия,RUONLY
ПАПА ЗАКОДИРОВАЛСЯ,SBF,17.06.21,120,242 тыс,"1,1 тыс","2,0 тыс",,,120,242 тыс,"1,1 тыс","2,0 тыс",,,,,,комедия,RUONLY
МОЙ ЛИЧНЫЙ ДРАКОН,CS,17.06.21,3,"4,0 тыс",17,"1,3 тыс",,,3,"4,0 тыс",17,"1,3 тыс",,,,,,документальный,RUONLY
КРАСНЫЙ ПРИЗРАК,CRP,10.06.21,1364,16 млн,67 тыс,12 тыс,,,1364,"8,6 млн",32 тыс,"6,3 тыс","2,3 млн","9,9 тыс",73.82,,,"драма, исторический",RUONLY
БАЙКАЛ: УДИВИТЕЛЬНЫЕ ПРИКЛЮЧЕНИЯ ЮМЫ,CP,10.06.21,961,41 млн,225 тыс,42 тыс,,,954,17 млн,84 тыс,18 тыс,"5,4 млн",29 тыс,67.91,,,"документальный, семейный",RUONLY
СМЕШАРИКИ И ДРУЗЬЯ В КИНО. ВЫПУСК 2,PNR,10.06.21,821,"5,1 млн",35 тыс,"6,2 тыс",,,821,"2,0 млн",13 тыс,"2,4 тыс",555 тыс,"4,5 тыс",72.25,,,анимация,RUONLY
ПУНКТ ПРОПУСКА. ОФИЦЕРСКАЯ ИСТОРИЯ,CS,10.06.21,17,10 тыс,69,594,,,17,10 тыс,69,594,,,,,,драма,RUONLY
СПАСТИ НЕЛЬЗЯ ОСТАВИТЬ,KNLG,03.06.21,90,"1,2 млн","9,6 тыс",13 тыс,,,90,154 тыс,"1,1 тыс","1,7 тыс",215 тыс,"1,7 тыс",-39.59,,,"приключения, семейный",RUONLY
ПАПА,SMKT,03.06.21,7,48 тыс,125,"6,9 тыс",,,7,48 тыс,125,"6,9 тыс",,,,,,документальный,RUONLY
КИНО ЗА 7 ДНЕЙ,KD,03.06.21,20,30 тыс,159,"1,5 тыс",,,20,30 тыс,159,"1,5 тыс",,,,,,драма,RUONLY
ИЧЧИ,CPF,27.05.21,180,"7,2 млн",24 тыс,40 тыс,,,180,"3,0 млн","9,6 тыс",17 тыс,825 тыс,"2,8 тыс",72.56,163 тыс,ПН - СР,ужасы,RUONLY
В ВИННОМ ОТРАЖЕНИИ,KNLG,27.05.21,119,"2,1 млн","6,4 тыс",18 тыс,,,119,840 тыс,"2,2 тыс","7,1 тыс",278 тыс,776,66.88,140 тыс,СБ - СР,"комедия, драма",RUONLY
ИГРАЙ СО МНОЙ,SBF,27.05.21,74,137 тыс,681,"1,8 тыс",,,74,137 тыс,681,"1,8 тыс",,,,,,"комедия, мелодрама",RUONLY
Я ПЕРЕДУМАЛА,PIFD,27.05.21,7,55 тыс,183,"7,8 тыс",,,7,32 тыс,95,"4,6 тыс",,,,,,"комедия, драма, мелодрама",RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 126. СОЛНЕЧНЫЕ МУЛЬТИКИ,MVK,20.05.21,716,"7,5 млн",69 тыс,10 тыс,,,571,"1,3 млн",10 тыс,"2,3 тыс","1,7 млн",14 тыс,-25.52,,,анимация,RUONLY
КОНЕЦ ФИЛЬМА,SBF,20.05.21,27,249 тыс,527,"9,2 тыс",,,27,92 тыс,276,"3,4 тыс",,,,157 тыс,ПТ - СР,комедия,RUONLY
ПРОСТРАНСТВО ЛОБАЧЕВСКОГО,CDK,20.05.21,15,138 тыс,627,"9,2 тыс",,,15,54 тыс,182,"3,6 тыс",,,,84 тыс,ВТ - СР,документальный,"RUONLY, DE"
ИВАНОВО СЧАСТЬЕ,CRP,13.05.21,369,"2,3 млн","8,2 тыс","6,3 тыс",,,369,"1,3 млн","4,1 тыс","3,6 тыс",522 тыс,"1,9 тыс",60.36,,,мелодрама,RUONLY
ПАРКЕТ,RUR,13.05.21,23,355 тыс,"1,3 тыс",15 тыс,,,23,98 тыс,325,"4,3 тыс",,,,,,драма,"RUONLY, POL, UK"
СКАЖИ ЕЙ,WDS,13.05.21,311,"5,4 млн",18 тыс,17 тыс,,,308,"2,8 млн","7,8 тыс","9,1 тыс",927 тыс,"2,9 тыс",66.91,,,драма,RUONLY
ЗАМЫКАНИЕ,LENT,13.05.21,37,294 тыс,1 000,"8,0 тыс",,,37,294 тыс,1 000,"8,0 тыс",,,,,,триллер,RUONLY
ПРАБАБУШКА ЛЕГКОГО ПОВЕДЕНИЯ. НАЧАЛО,CP,06.05.21,2034,324 млн,"1,2 млн",159 тыс,,,2028,211 млн,710 тыс,104 тыс,36 млн,132 тыс,82.77,,,комедия,RUONLY
СМЕШАРИКИ И ДРУЗЬЯ В КИНО. ВЫПУСК 1,PNR,06.05.21,881,"6,0 млн",29 тыс,"6,8 тыс",,,669,"3,4 млн",16 тыс,"5,0 тыс",600 тыс,"3,5 тыс",82.13,,,анимация,RUONLY
ИДИ И СМОТРИ,IK,06.05.21,86,"2,0 млн","6,9 тыс",23 тыс,,,86,"1,1 млн","3,8 тыс",12 тыс,117 тыс,433,88.89,,,"драма, военный",RUONLY
ДЕВЯТАЕВ,SPPR,29.04.21,1909,317 млн,"1,2 млн",166 тыс,,,1909,80 млн,285 тыс,42 тыс,91 млн,320 тыс,-13.85,,,"приключения, военный",RUONLY
ПРИКЛЮЧЕНИЯ ЭКСПОНАТА,SMKT,29.04.21,21,123 тыс,"1,6 тыс","5,8 тыс",,,21,34 тыс,138,"1,6 тыс",32 тыс,149,5.07,,,"приключения, драма",RUONLY
НА ДАЛЬНИХ РУБЕЖАХ,SMKT,29.04.21,22,33 тыс,104,"1,5 тыс",,,22,33 тыс,104,"1,5 тыс",,,,,,драма,RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 125. ДРУЗЬЯ НА ВСЮ ГОЛОВУ,MVK,22.04.21,538,"6,5 млн",51 тыс,12 тыс,,,538,"2,1 млн",16 тыс,"4,0 тыс","1,0 млн","8,1 тыс",51.67,,,анимация,RUONLY
ЛЮБОВЬ И МОНСТРЫ,CRP,22.04.21,820,"6,1 млн",24 тыс,"7,5 тыс",,,820,"3,8 млн",14 тыс,"4,7 тыс",,,,,,комедия,RUONLY
МОСКВЫ НЕ БЫВАЕТ,SMKT,22.04.21,6,29 тыс,110,"4,8 тыс",,,6,29 тыс,110,"4,8 тыс",,,,,,комедия,RUONLY
ОТ ВИНТА 2,PRD,15.04.21,1318,14 млн,70 тыс,11 тыс,,,1318,"7,5 млн",34 тыс,"5,7 тыс","3,7 млн",19 тыс,50.16,,,"комедия, приключения, анимация, семейный",RUONLY
ЧЕРНОБЫЛЬ,CP,15.04.21,2093,390 млн,"1,5 млн",186 тыс,,,2008,169 млн,586 тыс,84 тыс,78 млн,290 тыс,53.72,,,"драма, исторический",RUONLY
SHEENA667,NKI/AOF,15.04.21,45,684 тыс,"2,0 тыс",15 тыс,,,45,460 тыс,"1,3 тыс",10 тыс,,,,,,драма,RUONLY
"РОБОТ, Я ЛЮБЛЮ ТЕБЯ?",SMKT,15.04.21,11,111 тыс,295,10 тыс,,,11,"8,8 тыс",30,802,,,,102 тыс,СР,документальный,RUONLY
АГЕНТ МАМБО: TRUEPAC,SMKT,15.04.21,15,13 млн,42 тыс,835 тыс,,,12,"3,1 млн",10 тыс,256 тыс,"2,3 млн","7,8 тыс",24.71,,,комедия,RUONLY
24 СНЕГА,CNDOC,08.04.21,8,47 тыс,155,"5,9 тыс",,,8,47 тыс,155,"5,9 тыс",,,,,,документальный,RUONLY
УРОКИ ФАРСИ / Persian Lessons,BN,08.04.21,400,16 млн,48 тыс,39 тыс,,,361,"7,7 млн",22 тыс,21 тыс,"2,4 млн","6,3 тыс",68.97,833 тыс,ЧТ - ВС,драма,"RUONLY, DE, BLR"
БУДЬ МОИМ КИРИЛЛОМ,CRP,08.04.21,920,16 млн,59 тыс,17 тыс,,,837,"9,7 млн",33 тыс,12 тыс,"1,5 млн","6,0 тыс",84.04,,,мелодрама,RUONLY
КНИГА МОРЯ,SMKT,08.04.21,25,387 тыс,"1,6 тыс",15 тыс,,,25,110 тыс,427,"4,4 тыс",,,,91 тыс,ЧТ - СР,документальный,RUONLY
МАЙОР ГРОМ: ЧУМНОЙ ДОКТОР,WDS,01.04.21,1926,329 млн,"1,2 млн",171 тыс,,,1903,109 млн,359 тыс,57 тыс,69 млн,245 тыс,36.55,,,"приключения, боевик",RUONLY
МАША,PIFD,01.04.21,393,"5,0 млн",16 тыс,13 тыс,,,393,"2,9 млн","8,7 тыс","7,4 тыс",637 тыс,"1,6 тыс",78.01,,,драма,RUONLY
ПОСЛЕ ЧЕРНОБЫЛЯ,KL,01.04.21,56,916 тыс,"3,8 тыс",16 тыс,,,56,557 тыс,"2,1 тыс","10,0 тыс",,,,,,"ужасы, триллер, детектив","UA, US, RUONLY"
ЛЕОНИД АГУТИН. COSMO LIFE,CP,01.04.21,345,834 тыс,"2,8 тыс","2,4 тыс",,,335,116 тыс,393,347,,,,,,музыка,RUONLY
"ПЕЧЕНЬ, ИЛИ ИСТОРИЯ ОДНОГО СТАРТАПА",CIPA,01.04.21,63,787 тыс,"2,6 тыс",12 тыс,,,63,449 тыс,"1,3 тыс","7,1 тыс",,,,,,"комедия, криминал",RUONLY
TheatreHD: СЛЕПОК / Imprint in motion,COOL,01.04.21,15,"1,4 млн","3,3 тыс",92 тыс,,,10,192 тыс,341,19 тыс,362 тыс,925,-88.61,,,опера/балет,RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 124. ВЕСЕННИЕ СМЕШИНКИ,MVK,25.03.21,647,"8,6 млн",66 тыс,13 тыс,,,535,"2,5 млн",19 тыс,"4,6 тыс","2,3 млн",18 тыс,5.7,,,анимация,RUONLY
ИЮЛЬСКИЙ ДОЖДЬ. ПЕРЕВЫПУСК,IK,25.03.21,62,"3,3 млн",11 тыс,54 тыс,,,62,617 тыс,"1,9 тыс","10,0 тыс",462 тыс,"1,5 тыс",25.2,365 тыс,ЧТ - СР,драма,RUONLY
ПОТАНЦУЙ СО МНОЙ,SMKT,25.03.21,18,"2,6 млн","9,1 тыс",146 тыс,,,18,"1,1 млн","3,7 тыс",63 тыс,448 тыс,"1,4 тыс",60.36,,,мелодрама,RUONLY
NAVI. РОЖДЕННЫЕ ПОБЕЖДАТЬ,SMKT,25.03.21,22,"1,0 млн","2,4 тыс",46 тыс,,,22,547 тыс,"1,6 тыс",25 тыс,,,,301 тыс,ПН - СР,"документальный, спорт","UA, RUONLY"
ПАЛЬМА,CP,18.03.21,1877,352 млн,"1,6 млн",188 тыс,,,1866,106 млн,419 тыс,57 тыс,93 млн,410 тыс,12.02,,,драма,RUONLY
"ГАНЗЕЛЬ, ГРЕТЕЛЬ И АГЕНТСТВО МАГИИ",SPPR,18.03.21,1534,81 млн,397 тыс,53 тыс,,,1534,30 млн,124 тыс,20 тыс,22 млн,109 тыс,26.5,,,анимация,RUONLY
ПРОГРАММА АНИМАЦИОННОГО ФЕСТИВАЛЯ «LIAF-2021»,SMKT,18.03.21,6,346 тыс,"1,3 тыс",58 тыс,,,1,144 тыс,477,144 тыс,154 тыс,686,-7.6,,,анимация,"US, RUONLY, DE, BEL, CZE, HUN, KOR, PRT, CHE, UK"
БЫВШАЯ,CRP,11.03.21,969,22 млн,85 тыс,23 тыс,,,865,11 млн,39 тыс,13 тыс,"3,6 млн",13 тыс,68.5,,,ужасы,RUONLY
"НОС, ИЛИ ЗАГОВОР «НЕ ТАКИХ»",ALM,11.03.21,58,"1,9 млн","6,3 тыс",33 тыс,,,58,511 тыс,"1,6 тыс","8,8 тыс",247 тыс,795,51.79,334 тыс,ПН - СР,"анимация, драма, музыка",RUONLY
#ТОЛЬКО СЕРЬЕЗНЫЕ ОТНОШЕНИЯ,SBF,11.03.21,184,812 тыс,"3,5 тыс","4,4 тыс",,,184,498 тыс,"1,9 тыс","2,7 тыс",,,,,,комедия,RUONLY
ПАЛЬМИРА,SMKT,11.03.21,38,921 тыс,"3,8 тыс",24 тыс,,,38,428 тыс,"1,8 тыс",11 тыс,137 тыс,591,67.91,,,драма,RUONLY
СИБИРСКИЙ ЦИРЮЛЬНИК. ПЕРЕВЫПУСК,CP,11.03.21,343,"1,1 млн","4,9 тыс","3,3 тыс",,,343,491 тыс,"1,5 тыс","1,4 тыс",,,,,,"драма, мелодрама",RUONLY
РЯДОВОЙ ЧЭЭРИН,SMKT,11.03.21,25,"6,5 млн",25 тыс,258 тыс,,,23,"1,8 млн","6,2 тыс",77 тыс,"1,1 млн","4,2 тыс",37.11,,,военный,RUONLY
"ГУЛЯЙ, ВАСЯ! СВИДАНИЕ НА БАЛИ",NKI,04.03.21,1110,32 млн,115 тыс,29 тыс,,,1110,15 млн,50 тыс,13 тыс,"4,2 млн",16 тыс,71.44,,,комедия,RUONLY
ПАРА ИЗ БУДУЩЕГО,CP,04.03.21,1811,536 млн,"1,9 млн",296 тыс,,,1785,160 млн,514 тыс,90 тыс,116 млн,388 тыс,27.68,,,"фантастика, комедия, мелодрама",RUONLY
РАШН ЮГ,SPPR,04.03.21,1197,62 млн,233 тыс,52 тыс,,,1197,26 млн,90 тыс,22 тыс,11 млн,42 тыс,56.98,,,комедия,RUONLY
БЕЛЫЙ СНЕГ,CRP,04.03.21,1170,56 млн,219 тыс,48 тыс,,,1027,19 млн,67 тыс,19 тыс,13 млн,47 тыс,33.95,,,"биография, драма, спорт",RUONLY
ОТРЯД ТАГАНОК,SMKT,04.03.21,77,"7,2 млн",60 тыс,93 тыс,,,49,947 тыс,"6,1 тыс",19 тыс,"1,2 млн","8,9 тыс",-30.05,,,"комедия, приключения",RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 123. РАДОСТИ ПОЛНЫЕ МУЛЬТЫ,MVK,25.02.21,618,"8,1 млн",62 тыс,13 тыс,,,510,"2,1 млн",16 тыс,"4,1 тыс","1,7 млн",13 тыс,18.76,,,анимация,RUONLY
ПУГАЛО,PVZGL/IK,25.02.21,216,12 млн,39 тыс,54 тыс,,,216,"4,8 млн",15 тыс,22 тыс,"1,4 млн","4,4 тыс",71.55,"1,1 млн",СР,драма,RUONLY
БАТЯ,CP,25.02.21,1738,533 млн,"1,9 млн",307 тыс,,,1724,269 млн,941 тыс,156 тыс,66 млн,231 тыс,75.53,,,комедия,RUONLY
НА СКОРОСТИ,SBF,25.02.21,89,344 тыс,"1,8 тыс","3,9 тыс",,,89,199 тыс,831,"2,2 тыс",,,,46 тыс,СБ - СР,"комедия, мелодрама",RUONLY
СТАНИСЛАВСКИЙ. ЖАЖДА ЖИЗНИ,CS,25.02.21,12,35 тыс,124,"2,9 тыс",,,12,35 тыс,124,"2,9 тыс",,,,,,документальный,RUONLY
КОНЕК-ГОРБУНОК,SPPR,18.02.21,1934,"1,2 млрд","4,9 млн",620 тыс,,,1843,282 млн,"1,1 млн",153 тыс,240 млн,965 тыс,14.73,,,сказка,RUONLY
СПАСИТЕ КОЛЮ!,WDS,18.02.21,1283,55 млн,202 тыс,43 тыс,,,1283,23 млн,84 тыс,18 тыс,"7,9 млн",30 тыс,66.19,,,комедия,RUONLY
ДОЧЬ ТЬМЫ,VH,18.02.21,150,"1,3 млн","4,6 тыс","8,7 тыс",,,150,655 тыс,"2,2 тыс","4,4 тыс",192 тыс,841,70.66,,,"ужасы, мистика",RUONLY
ХИЩНИКИ,MFC,18.02.21,54,475 тыс,"1,6 тыс","8,8 тыс",,,54,475 тыс,"1,6 тыс","8,8 тыс",,,,,,"комедия, криминал",RUONLY
ПРИВОРОТ. ЧЕРНОЕ ВЕНЧАНИЕ,CP,11.02.21,1208,38 млн,148 тыс,32 тыс,,,1189,23 млн,82 тыс,19 тыс,"5,4 млн",22 тыс,76.43,,,"мелодрама, мистика",RUONLY
LOVE,CRP,11.02.21,1847,73 млн,269 тыс,39 тыс,,,1627,47 млн,162 тыс,29 тыс,"5,9 млн",23 тыс,87.5,,,"комедия, мелодрама",RUONLY
РОДНЫЕ,SPPR,11.02.21,1753,489 млн,"1,9 млн",279 тыс,,,1753,203 млн,707 тыс,116 тыс,85 млн,305 тыс,58.16,,,комедия,RUONLY
МУЗЫКА КРЫШ,KL,11.02.21,38,118 тыс,479,"3,1 тыс",,,38,118 тыс,479,"3,1 тыс",,,,,,мелодрама,RUONLY
КРОЛИЧЬЯ ЛАПА / La Patte de Lapin,SMKT,11.02.21,82,"1,1 млн","3,3 тыс",14 тыс,,,82,501 тыс,"1,6 тыс","6,1 тыс",,,,342 тыс,ПН - СР,"драма, мелодрама","RUONLY, BEL, FIN"
БУЛАГ 2. К НОВОЙ ЖИЗНИ,SMKT,11.02.21,7,578 тыс,"2,4 тыс",83 тыс,,,7,217 тыс,869,31 тыс,105 тыс,453,51.61,,,,RUONLY
ОГОНЕК-ОГНИВО,MVK,04.02.21,1628,22 млн,121 тыс,13 тыс,,,1493,13 млн,61 тыс,"8,4 тыс","5,0 млн",27 тыс,59.85,43 тыс,ПН - СР,анимация,RUONLY
СЕВЕРНЫЙ ВЕТЕР,SPPR,04.02.21,450,80 млн,242 тыс,178 тыс,,,440,17 млн,49 тыс,40 тыс,18 млн,53 тыс,-5.44,,,драма,RUONLY
КТО-НИБУДЬ ВИДЕЛ МОЮ ДЕВЧОНКУ?,CP,04.02.21,775,17 млн,57 тыс,22 тыс,,,775,"9,3 млн",28 тыс,12 тыс,"2,8 млн","8,9 тыс",69.7,,,"драма, мелодрама",RUONLY
СТЕНДАП ПОД ПРИКРЫТИЕМ,MGS,04.02.21,1302,27 млн,104 тыс,21 тыс,,,1302,19 млн,66 тыс,15 тыс,"2,1 млн","8,5 тыс",88.87,,,комедия,RUONLY
ДВАЖДЫ ДВА,KD,04.02.21,37,97 тыс,322,"2,6 тыс",,,37,97 тыс,322,"2,6 тыс",,,,,,"комедия, мелодрама",RUONLY
ПОНАЕХАЛИ,SMKT,04.02.21,75,"5,9 млн",23 тыс,79 тыс,,,75,"2,2 млн","7,9 тыс",29 тыс,"1,0 млн","4,0 тыс",52.41,,,комедия,RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 122. СОГРЕВАЮЩИЕ МУЛЬТИКИ,MVK,28.01.21,663,"7,2 млн",57 тыс,11 тыс,,,550,"2,1 млн",16 тыс,"3,8 тыс","1,8 млн",14 тыс,15.56,,,анимация,RUONLY
ЗОЯ,CRP,28.01.21,1784,71 млн,335 тыс,40 тыс,,,1632,31 млн,125 тыс,19 тыс,17 млн,78 тыс,44.1,,,"драма, исторический, военный",RUONLY
ЧЕРНЫЙ СНЕГ / Хара Хаар,SMKT,28.01.21,33,"6,9 млн",25 тыс,210 тыс,,,29,"2,2 млн","7,5 тыс",77 тыс,"1,4 млн","4,8 тыс",35.78,,,,RUONLY
ДЕНЬ ГОРОДА,CRP,21.01.21,1668,75 млн,300 тыс,45 тыс,,,1507,39 млн,141 тыс,26 тыс,14 млн,53 тыс,64.51,,,комедия,RUONLY
КОРПОРАЦИЯ AD LIBITUM / Ad Libitum,CPF,21.01.21,220,"1,5 млн","5,1 тыс","7,0 тыс",,,220,949 тыс,"2,8 тыс","4,3 тыс",,,,118 тыс,ПН - СР,"приключения, триллер",RUONLY
НЕ ЛЕЧИ МЕНЯ,SPPR,14.01.21,644,22 млн,80 тыс,34 тыс,,,644,13 млн,45 тыс,21 тыс,"3,0 млн",10 тыс,77.71,,,комедия,RUONLY
КОНЬ ЮЛИЙ И БОЛЬШИЕ СКАЧКИ,SPPR,31.12.20,1738,360 млн,"1,4 млн",207 тыс,,,1738,114 млн,430 тыс,65 тыс,100 млн,397 тыс,12.37,,,анимация,RUONLY
ПОСЛЕДНИЙ БОГАТЫРЬ: КОРЕНЬ ЗЛА,WDS,31.12.20,2033,"2,1 млрд","7,4 млн","1,0 млн",,,1971,607 млн,"2,0 млн",308 тыс,532 млн,"1,8 млн",12.3,,,"комедия, семейный, фэнтези",RUONLY
"МУЛЬТ В КИНО. ВЫПУСК № 121. НОВЫЙ ГОД, НОВЫЙ МУЛЬТ!",MVK,31.12.20,516,"7,3 млн",48 тыс,14 тыс,,,372,"1,4 млн","8,2 тыс","3,7 тыс","2,1 млн",13 тыс,-53.75,,,анимация,RUONLY
ОГОНЬ,CP,24.12.20,1996,927 млн,"3,3 млн",465 тыс,,,1882,78 млн,274 тыс,41 тыс,149 млн,468 тыс,-91.5,,,драма,RUONLY
БАРБОСКИНЫ НА ДАЧЕ,SPPR,24.12.20,1125,70 млн,320 тыс,63 тыс,,,1125,14 млн,64 тыс,12 тыс,15 млн,64 тыс,-13.44,,,анимация,RUONLY
ОБРАТНАЯ СВЯЗЬ,SPPR,17.12.20,1209,248 млн,794 тыс,205 тыс,,,1209,69 млн,222 тыс,57 тыс,34 млн,112 тыс,49.93,,,комедия,RUONLY
САМЫЙ НОВЫЙ ГОД!,NKI,17.12.20,736,"8,4 млн",34 тыс,11 тыс,,,736,"4,7 млн",17 тыс,"6,3 тыс","1,1 млн","4,4 тыс",76.41,,,комедия,RUONLY
ПРО ЛЕЛЮ И МИНЬКУ,PRGK,17.12.20,130,386 тыс,"1,5 тыс","3,0 тыс",,,130,386 тыс,"1,5 тыс","3,0 тыс",,,,,,семейный,RUONLY
РЕАЛЬНЫЕ ПАЦАНЫ ПРОТИВ ЗОМБИ,CRP,17.12.20,1709,115 млн,464 тыс,67 тыс,,,1646,49 млн,189 тыс,30 тыс,19 млн,74 тыс,61.94,,,комедия,RUONLY
СЕНТЕНЦИЯ,TNL,17.12.20,18,65 тыс,230,"3,6 тыс",,,18,65 тыс,230,"3,6 тыс",,,,,,драма,RUONLY
НЕАДЕКВАТНЫЕ ЛЮДИ 2,MGS,10.12.20,964,17 млн,60 тыс,17 тыс,,,964,"9,4 млн",31 тыс,"9,7 тыс","2,0 млн","7,3 тыс",78.23,,,комедия,RUONLY
СЕРЕБРЯНЫЕ КОНЬКИ,CP,10.12.20,1845,490 млн,"1,7 млн",266 тыс,,,1790,93 млн,329 тыс,52 тыс,72 млн,261 тыс,23.03,,,"экшн, приключения, мелодрама, фэнтези",RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 120. ЛУЧШИЙ ПОДАРОК,MVK,03.12.20,793,"3,8 млн",31 тыс,"4,8 тыс",,,792,"1,1 млн","9,0 тыс","1,4 тыс","1,1 млн","9,2 тыс",-0.87,,,анимация,RUONLY
ПОЛНОЕ ПОГРУЖЕНИЕ,NKI,03.12.20,1401,28 млн,129 тыс,20 тыс,,,1401,17 млн,73 тыс,12 тыс,"6,7 млн",33 тыс,59.2,,,анимация,RUONLY
ТРОЕ,WDS,03.12.20,549,21 млн,71 тыс,39 тыс,,,549,12 млн,36 тыс,22 тыс,"3,6 млн",12 тыс,69.99,,,мелодрама,RUONLY
КОМЕТА ГАЛЛЕЯ,MGS,03.12.20,1021,"8,2 млн",35 тыс,"8,0 тыс",,,1021,"5,5 млн",21 тыс,"5,4 тыс",940 тыс,"4,1 тыс",82.89,,,комедия,RUONLY
НЕРКА. РЫБА КРАСНАЯ,CS,03.12.20,12,54 тыс,212,"4,5 тыс",,,12,54 тыс,212,"4,5 тыс",,,,,,документальный,RUONLY
ИЛИАНА. ВЕРЬ МНЕ / ИЛИАНА. ВЕРЬ МНЕ,VH,03.12.20,138,397 тыс,"1,2 тыс","2,9 тыс",,,138,397 тыс,"1,2 тыс","2,9 тыс",,,,,,"комедия, триллер",RUONLY
НА ОСТРИЕ,CP,26.11.20,1571,80 млн,326 тыс,51 тыс,,,1547,35 млн,133 тыс,23 тыс,21 млн,80 тыс,38.72,,,"драма, спорт",RUONLY
КУРЬЕР. ПЕРЕВЫПУСК,IK,26.11.20,67,"1,3 млн","4,1 тыс",19 тыс,,,67,561 тыс,"1,9 тыс","8,4 тыс",154 тыс,506,72.56,332 тыс,ПН - СР,"комедия, драма, мелодрама",RUONLY
ВЕЧЕР ШУТОВ ИЛИ СЕРЬЕЗНО С ПРИВЕТОМ,MVK/LONF,26.11.20,449,"1,5 млн","6,3 тыс","3,3 тыс",,,449,972 тыс,"3,6 тыс","2,2 тыс",196 тыс,990,79.81,,,"комедия, мелодрама",RUONLY
ЧЕЛОВЕК ИЗ ПОДОЛЬСКА,PVZGL,26.11.20,180,"4,9 млн",17 тыс,27 тыс,,,180,"1,6 млн","4,8 тыс","8,7 тыс",678 тыс,"2,2 тыс",56.85,349 тыс,ПН - СР,"комедия, драма",RUONLY
ВИКТОРИЯ,CS,26.11.20,15,14 тыс,56,907,,,15,14 тыс,56,907,,,,,,семейный,RUONLY
ДОЧЬ РЫБАКА,SMKT,26.11.20,27,"1,7 млн","5,4 тыс",63 тыс,,,20,284 тыс,936,14 тыс,159 тыс,533,43.94,82 тыс,ВС - СР,"приключения, фэнтези",RUONLY
СМЕРТЕЛЬНЫЕ ИЛЛЮЗИИ,MGS,19.11.20,1052,14 млн,57 тыс,13 тыс,,,1052,"8,4 млн",31 тыс,"8,0 тыс","2,1 млн","9,4 тыс",74.85,,,"экшн, триллер",RUONLY
БЕГ,CRP,19.11.20,792,"8,0 млн",33 тыс,10 тыс,,,792,"4,9 млн",18 тыс,"6,1 тыс","1,0 млн","4,3 тыс",79.25,,,триллер,RUONLY
МОЛОДОЕ ВИНО,SMKT,19.11.20,67,243 тыс,"1,3 тыс","3,6 тыс",,,67,127 тыс,489,"1,9 тыс",,,,,,драма,RUONLY
НЕПОСРЕДСТВЕННО КАХА,CP,12.11.20,1505,570 млн,"2,2 млн",378 тыс,,,1367,226 млн,845 тыс,166 тыс,94 млн,352 тыс,58.35,,,комедия,RUONLY
ЦОЙ,CRP,12.11.20,1278,27 млн,105 тыс,21 тыс,,,1278,16 млн,57 тыс,12 тыс,"4,4 млн",16 тыс,72.04,,,"биография, драма","RUONLY, LVA, LTU"
ДОРОГИЕ ТОВАРИЩИ!,WDS,12.11.20,361,12 млн,40 тыс,32 тыс,,,361,"5,1 млн",16 тыс,14 тыс,"2,3 млн","7,7 тыс",55.44,,,"драма, исторический",RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 119. ДОБРЫЕ НАМЕРЕНИЯ,MVK,05.11.20,710,"4,6 млн",38 тыс,"6,5 тыс",,,710,"1,5 млн",12 тыс,"2,1 тыс","1,2 млн",10 тыс,16.86,,,анимация,RUONLY
